,Neighbourhood,Latitude,Longitude
0,Kensington,40.63852019999999,-73.97318729999999
1,Midtown,40.7549309,-73.9840195
2,Harlem,40.8115504,-73.9464769
3,Clinton Hill,40.6896834,-73.9661144
4,East Harlem,40.7957399,-73.93892129999999
5,Murray Hill,40.7478792,-73.9756567
6,Bedford-Stuyvesant,40.6872176,-73.9417735
7,Hell's Kitchen,40.7637581,-73.9918181
8,Upper West Side,40.7870106,-73.9753676
9,Chinatown,40.7157509,-73.9970307
10,South Slope,40.6605508,-73.9874105
11,West Village,40.73468,-74.0047554
12,Williamsburg,40.7081156,-73.9570696
13,Fort Greene,40.6920638,-73.97418739999999
14,Chelsea,40.7465004,-74.00137370000002
15,Crown Heights,40.6694022,-73.9422324
16,Park Slope,40.6710672,-73.98142279999999
17,Windsor Terrace,40.6539346,-73.9756567
18,Inwood,40.8677145,-73.9212019
19,East Village,40.7264773,-73.98153370000001
20,Greenpoint,40.7304701,-73.95150319999999
21,Bushwick,40.6957755,-73.9170604
22,Flatbush,40.6414876,-73.9593998
23,Lower East Side,40.715033,-73.9842724
24,Prospect-Lefferts Gardens,40.6592355,-73.9533895
25,Long Island City,40.744679,-73.9485424
26,Kips Bay,40.74232920000001,-73.9800645
27,SoHo,40.723301,-74.0029883
28,Upper East Side,40.7735649,-73.9565551
29,Prospect Heights,40.6774196,-73.9668408
30,Washington Heights,40.8417082,-73.9393554
31,Woodside,40.7532952,-73.9068973
32,Brooklyn Heights,40.6959294,-73.9955523
33,Carroll Gardens,40.6795331,-73.9991637
34,Gowanus,40.6751161,-73.9879753
35,Flatlands,40.6232714,-73.9321664
36,Cobble Hill,40.686536,-73.9962255
37,Flushing,40.7674987,-73.833079
38,Boerum Hill,40.6848689,-73.9844722
39,Sunnyside,40.7432759,-73.9196324
40,DUMBO,40.7033164,-73.9881451
41,St. George,40.6427017,-74.0799469
42,Highbridge,40.836916,-73.9271294
43,Financial District,40.7077143,-74.00827869999999
44,Ridgewood,40.7043986,-73.9018292
45,Morningside Heights,40.8105443,-73.9620581
46,Jamaica,40.702677,-73.7889689
47,Middle Village,40.717372,-73.87425
48,NoHo,40.7286587,-73.9925526
49,Ditmars Steinway,40.7797125,-73.90631619999999
50,Flatiron District,40.740083,-73.9903489
51,Roosevelt Island,40.76050310000001,-73.9509934
52,Greenwich Village,40.7335719,-74.0027418
53,Little Italy,40.7191413,-73.9973273
54,East Flatbush,40.6481656,-73.9299899
55,Tompkinsville,40.63259559999999,-74.0872892
56,Astoria,40.7643574,-73.92346189999999
57,Clason Point,40.8159508,-73.85640479999999
58,Eastchester,40.95956049999999,-73.8095574
59,Kingsbridge,40.8833912,-73.9051185
60,Two Bridges,40.7107469,-73.99696
61,Queens Village,40.7156628,-73.7419017
62,Rockaway Beach,40.5860224,-73.81662589999999
63,Forest Hills,40.718106,-73.8448469
64,Nolita,40.7230413,-73.99486069999999
65,Woodlawn,40.8976347,-73.8668996
66,University Heights,40.8574661,-73.90965
67,Gravesend,40.5918636,-73.9768653
68,Gramercy,40.7367783,-73.9844722
69,Allerton,40.8631189,-73.8616476
70,East New York,40.6590529,-73.8759245
71,Theater District,40.759011,-73.9844722
72,Concourse Village,40.8255863,-73.9184388
73,Sheepshead Bay,40.5953955,-73.94575379999999
74,Emerson Hill,40.6074525,-74.0963115
75,Fort Hamilton,40.6094454,-74.02854339999999
76,Bensonhurst,40.6139307,-73.9921833
77,Tribeca,40.7162692,-74.0086323
78,Shore Acres,40.6084816,-74.0684795
79,Sunset Park,40.65272,-74.00933479999999
80,Concourse,40.8316761,-73.9227554
81,Elmhurst,40.737975,-73.8801301
82,Brighton Beach,40.5780706,-73.9596565
83,Jackson Heights,40.7556818,-73.8830701
84,Cypress Hills,40.6836873,-73.87963309999999
85,St. Albans,40.6895283,-73.76436880000001
86,Arrochar,40.5967312,-74.0704232
87,Rego Park,40.72557219999999,-73.8624893
88,Wakefield,40.89655,-73.8507279
89,Clifton,44.1974671,-74.8878245
