,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
0,0,Allerton,Bronx,40.8631189,-73.8616476,87.6,42,73.05,33,450,66.5,1803,27.0,271,0,43.0
1,0,Arden Heights,Staten Island,40.556413,-74.1735044,67.25,4,18.3,41,83,72.5,31,5.0,20,1,8.0
2,0,Arrochar,Staten Island,40.5967312,-74.0704232,115.0,21,133.12,32,625,65.0,307,11.0,52,0,15.0
3,0,Arverne,Queens,40.592658,-73.7977928,171.78,77,193.35,35,1500,125.0,2253,15.0,201,0,29.0
4,4,Astoria,Queens,40.7643574,-73.92346189999999,117.19,900,349.9,25,10000,85.0,19310,5.0,441,0,21.0
5,0,Bath Beach,Brooklyn,40.6038852,-74.0062078,81.76,17,40.23,33,180,69.0,363,17.0,51,0,21.0
6,0,Battery Park City,Manhattan,40.7115786,-74.0158441,367.56,69,974.67,55,7500,195.0,580,1.0,205,0,8.0
7,0,Bay Ridge,Brooklyn,40.6263732,-74.0298767,144.43,141,383.16,18,4200,85.0,2618,5.0,213,0,19.0
8,0,Bay Terrace,Queens,40.7814336,-73.7782051,142.0,6,82.56,32,258,141.5,249,7.0,146,0,42.0
9,0,"Bay Terrace, Staten Island",Staten Island,40.5552778,-74.13416670000001,102.5,2,67.18,55,150,102.5,3,1.5,2,1,2.0
10,0,Baychester,Bronx,40.8693862,-73.83308439999999,75.43,7,17.42,53,101,75.0,310,11.0,206,0,44.0
11,0,Bayside,Queens,40.7585569,-73.7654367,157.95,39,407.56,30,2600,65.0,928,11.0,123,0,24.0
12,0,Bayswater,Queens,40.6067815,-73.7669075,87.47,17,48.28,45,230,70.0,191,4.0,81,0,11.0
13,1,Bedford-Stuyvesant,Brooklyn,40.6872176,-73.9417735,107.79,3709,165.85,10,5000,80.0,110068,8.0,397,0,30.0
14,0,Belle Harbor,Queens,40.5754846,-73.8507279,171.5,8,90.7,85,350,155.0,74,1.5,35,0,9.0
15,0,Bellerose,Queens,40.7361769,-73.7137365,99.36,14,55.61,42,240,85.0,118,2.0,39,0,8.0
16,0,Belmont,Bronx,40.8534507,-73.88936819999999,77.12,24,68.95,24,299,52.5,296,4.5,71,0,12.0
17,0,Bensonhurst,Brooklyn,40.6139307,-73.9921833,75.79,75,33.96,15,200,75.0,1845,12.0,287,0,25.0
18,0,Bergen Beach,Brooklyn,40.6203822,-73.90680329999999,106.7,10,49.16,49,235,96.0,205,22.5,41,0,20.0
