,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Allerton,40.8631189,-73.8616476,Sal & Doms Bakery,40.865376850385296,-73.85523627405723,Dessert Shop
1,Allerton,40.8631189,-73.8616476,White Castle,40.866065155359436,-73.8623072418302,Fast Food Restaurant
2,Allerton,40.8631189,-73.8616476,The New York Botanical Garden,40.86262485277416,-73.87724161148071,Botanical Garden
3,Allerton,40.8631189,-73.8616476,La Estrellita Poblana,40.86707718195586,-73.86759511435406,Mexican Restaurant
4,Allerton,40.8631189,-73.8616476,Peach Wave,40.85605141607515,-73.85570606675319,Frozen Yogurt Shop
5,Allerton,40.8631189,-73.8616476,John & Joe's Pizzeria,40.854519600273534,-73.86582375035509,Pizza Place
6,Allerton,40.8631189,-73.8616476,Gun Hill Brewing Co.,40.872138857648295,-73.85569833690343,Brewery
7,Allerton,40.8631189,-73.8616476,Enzo's,40.854232311821725,-73.85436243306151,Italian Restaurant
8,Allerton,40.8631189,-73.8616476,Starbucks,40.85612716867315,-73.86742823061535,Coffee Shop
9,Allerton,40.8631189,-73.8616476,Peggy Rockefeller Rose Garden,40.85924439449233,-73.87350797653198,Garden
10,Allerton,40.8631189,-73.8616476,Native Plant Garden at NYBG,40.86274754746207,-73.87850216141788,Garden
11,Allerton,40.8631189,-73.8616476,Bronx Park Greenway/NYC Cycling Bike Path/Trail @ Allerton Ave,40.86632173117118,-73.87073275952865,Trail
12,Allerton,40.8631189,-73.8616476,Domenick's Pizzeria,40.86557632085589,-73.85812427249664,Pizza Place
13,Allerton,40.8631189,-73.8616476,Dunkin',40.86378496790022,-73.86518289327148,Donut Shop
14,Allerton,40.8631189,-73.8616476,Enid A. Haupt Conservatory,40.86425637966472,-73.88215394104962,Botanical Garden
15,Allerton,40.8631189,-73.8616476,The New York Botanical Gardens - The Rock Garden,40.86445859331298,-73.88245582580566,Beer Garden
16,Allerton,40.8631189,-73.8616476,Ann Clair's Salumeria,40.85004616007053,-73.8517963510315,Deli / Bodega
17,Allerton,40.8631189,-73.8616476,Nicks Pizza,40.870351831445014,-73.84617111612273,Pizza Place
18,Allerton,40.8631189,-73.8616476,Shop in the Garden,40.86261164742681,-73.88011616962366,Gift Shop
19,Allerton,40.8631189,-73.8616476,Fratelli's,40.86301897888721,-73.84360740712835,Italian Restaurant
20,Allerton,40.8631189,-73.8616476,Bronx Zoo,40.85310654542512,-73.87809446211139,Zoo
21,Allerton,40.8631189,-73.8616476,Thain Family Forest,40.86452,-73.875725,Garden
22,Allerton,40.8631189,-73.8616476,F & J Pine Tavern,40.848765529655324,-73.86224195555774,Italian Restaurant
23,Allerton,40.8631189,-73.8616476,Patricia's,40.84931298339339,-73.85353576737785,Italian Restaurant
24,Allerton,40.8631189,-73.8616476,La Masa,40.84803914725375,-73.85618214016417,Arepa Restaurant
25,Allerton,40.8631189,-73.8616476,Bronx Park,40.86582169497348,-73.87340068817139,Park
26,Allerton,40.8631189,-73.8616476,Sea Lion Pool,40.852882130832036,-73.8785453754281,Zoo
27,Allerton,40.8631189,-73.8616476,Tiger Mountain,40.85126156047489,-73.87702008084365,Zoo Exhibit
28,Allerton,40.8631189,-73.8616476,Lash West Indian and American Cuisine,40.871159000000006,-73.86305,Food
29,Allerton,40.8631189,-73.8616476,Artuso Pastry Shop,40.854324604875096,-73.88511207332353,Bakery
30,Allerton,40.8631189,-73.8616476,World of Birds,40.852676331279376,-73.87541770935059,Zoo
31,Allerton,40.8631189,-73.8616476,TCK Martial Arts Academy,40.85772906763519,-73.88361299571267,Martial Arts Dojo
32,Allerton,40.8631189,-73.8616476,New Morris Deli,40.84652921587026,-73.86387374550078,Deli / Bodega
33,Allerton,40.8631189,-73.8616476,Tino's Delicatessen,40.85588217093613,-73.88716612015719,Italian Restaurant
34,Allerton,40.8631189,-73.8616476,Pugsley Pizza,40.8588177574385,-73.88480770171738,Pizza Place
35,Allerton,40.8631189,-73.8616476,Casa Della Mozzarella,40.85543999994273,-73.88737265373734,Deli / Bodega
36,Allerton,40.8631189,-73.8616476,Conti's Pastry Shoppe,40.845905639607956,-73.86283608706798,Coffee Shop
37,Allerton,40.8631189,-73.8616476,Joes Italian Deli,40.85439129501429,-73.8853668865723,Deli / Bodega
